URL,Mobile Perf,Mobile A11y,Desktop Perf,Desktop A11y,Error
/blog/how-to-make-perfect-risotto,88,98,100,98,
/blog/bacon-but-not-in-this-dish,91,98,100,98,
/reviews/benriner-large-mandoline,83,100,100,100,
/reviews/john-boos-platinum-commercial-cutting-board,83,100,100,100,
/reviews/victorinox-4-inch-paring-knife,83,100,100,100,
/reviews/lodge-seasoned-cast-iron-3-skillet-bundle,84,100,100,100,
/about,85,100,100,100,
/blog,85,100,100,100,
/blog/dutch-oven-vs-slow-cooker,85,100,100,100,
/blog/hotel-pan-system-restaurant-organization-home,85,100,100,100,
/reviews/diamond-crystal-kosher-salt,85,100,100,100,
/reviews/kitchenaid-kp26m1xlc-professional-600,85,100,100,100,
/reviews/oxo-good-grips-bench-scraper,85,100,100,100,
/blog/cast-iron-seasoning-care,86,100,100,100,
/blog/knife-skills-how-to-hold-chef-knife,86,100,100,100,
/blog/knife-storage-protecting-blades-for-decades,86,100,100,100,
/reviews/instant-pot-duo-plus-6qt,86,100,100,100,
/reviews/method-all-purpose-cleaner,86,100,100,100,
/reviews/oxo-good-grips-swivel-peeler,86,100,100,100,
/reviews/rubbermaid-commercial-cooks-scraper,86,100,100,100,
/blog/benefits-cooking-with-garlic,87,100,100,100,
/blog/caramelization-science,87,100,100,100,
/blog/complete-guide-to-salts,87,100,100,100,
/blog/cutting-board-materials-guide,87,100,100,100,
/blog/cutting-storing-fresh-herbs,87,100,100,100,
/blog/how-to-clean-burnt-stainless-steel-pans,87,100,100,100,
/blog/how-to-make-roux,87,100,100,100,
/blog/how-to-preheat-a-pan,87,100,100,100,
/blog/kitchen-gloves-guide,87,100,100,100,
/blog/knife-safety-rules-professional-kitchens,87,100,100,100,
/blog/maillard-reaction-browning-flavor,87,100,100,100,
/blog/making-stock-professional-chef-method,87,100,100,100,
/blog/meal-prep-station-setup-restaurant-efficiency,87,100,100,100,
/blog/onions-cooking-guide,86,100,100,100,
/blog/potatoes-cooking-guide,87,100,100,100,
/blog/reducing-sauces-restaurant-technique,87,100,100,100,
/blog/stand-mixer-vs-hand-mixer,87,100,100,100,
/blog/understanding-acids-cooking,87,100,100,100,
/blog/understanding-umami-fifth-taste,87,100,100,100,
/blog/victorinox-budget-vs-wusthof-premium-knives,87,100,100,100,
/blog/what-is-emulsification,87,100,100,100,
/blog/why-cooking-science-matters,87,100,100,100,
/blog/why-removing-silverskin-matters,87,100,100,100,
/guides/affordable-kitchen-appliances,87,100,100,100,
/reviews/bodum-chambord-french-press,87,100,100,100,
/reviews/henckels-sharpening-steel,87,100,100,100,
/reviews/kitchenaid-ksm8990wh,87,100,100,100,
/reviews/le-creuset-signature-7-25-qt-dutch-oven,87,100,100,100,
/reviews/victorinox-offset-bread-knife,87,100,100,100,
/reviews/zuperia-bar-mops,87,100,100,100,
/appliances,88,100,100,100,
/blog/best-scrambled-eggs,88,100,100,100,
/blog/bread-science-gluten-development,88,100,100,100,
/blog/cheese-sauce-mac-and-cheese,88,100,100,100,
/blog/complete-victorinox-knife-lineup-comparison,88,100,100,100,
/blog/food-processor-vs-blender,88,100,100,100,
/blog/gas-vs-induction-cooktop,88,100,100,100,
/blog/how-to-make-marinara-sauce,88,100,100,100,
/blog/how-to-sear-steaks-like-restaurant-chef,88,100,100,100,
/blog/how-to-wash-lettuce,88,100,100,100,
/blog/immersion-blender-vs-countertop-blender,88,100,100,100,
/blog/kitchen-starter-kit-first-5-tools,88,100,100,100,
/blog/kitchen-tools-wasting-money,88,100,100,100,
/blog/mis-en-place-professional-cooking,88,100,100,100,
/blog/oxidization-effect-on-food,88,100,100,100,
/blog/paring-knife-vs-chefs-knife,88,100,100,100,
/blog/sheet-pan-cooking-restaurant-techniques,88,100,100,100,
/blog/victorinox-8-inch-vs-10-inch-chefs-knife,88,100,100,100,
/blog/what-is-braising,88,100,100,100,
/blog/what-is-mirepoix,88,100,100,100,
/cookware,88,100,100,100,
/glossary,88,100,100,100,
/guides/knife-care,88,100,100,100,
/moving-stirring,88,100,100,100,
/prep-tools,88,100,100,100,
/reviews/small-metal-hotel-pans,88,100,100,100,
/reviews/victorinox-fibrox-8-inch-chefs-knife,88,100,100,100,
/the-tools-that-started-it-all,88,100,100,100,
/contact,89,100,100,100,
/privacy-policy,89,100,100,100,
/review-tiers,89,100,100,100,
/terms,89,100,100,100,
/blog/carbon-steel-vs-stainless-steel-knife,90,100,100,100,
/blog/deglazing-pan-sauces,90,100,100,100,
/blog/essential-knife-cuts-every-cook-should-master,90,100,100,100,
/blog/kitchen-thermometers-guide,90,100,100,100,
/blog/bleach-vs-sanitation-solution,91,100,100,100,
/blog/cooking-with-tomatoes-fresh-vs-canned,91,100,100,100,
/blog/dutch-oven-size-guide-which-quart-size,91,100,100,100,
/blog/fat-is-flavor,91,100,100,100,
/blog/hidden-secrets-of-brining,91,100,100,100,
/blog/how-to-prep-and-grill-asparagus,91,100,100,100,
/blog/how-to-store-raw-foods-safely,91,100,100,100,
/blog/stand-mixer-buying-guide,91,100,100,100,
/blog/stock-vs-broth-vs-bouillon,91,100,100,100,
/chef-approved,91,100,100,100,
/cleaning-maintenance,91,100,100,100,
/cookie-policy,91,100,100,100,
/guides/best-cookware,91,100,100,100,
/kitchen-bundle,91,100,100,100,
/reviews,91,100,100,100,
/reviews/black-decker-toaster-oven,91,100,100,100,
/reviews/large-metal-hotel-pans,91,100,100,100,
/reviews/winco-heavy-duty-tongs,91,100,100,100,
/blog/blanching-vegetables-why-restaurants-do-it,92,100,100,100,
/blog/carbon-footprint-kitchen-equipment-buy-once-cry-once,92,100,100,100,
/blog/cookware-materials-explained,92,100,100,100,
/blog/how-to-choose-first-chef-knife,92,100,100,100,
/blog/how-to-sharpen-with-tri-stone,92,100,100,100,
/blog/how-to-steel-a-knife,92,100,100,100,
/blog/how-to-use-pizza-stone,92,100,100,100,
/blog/vegetable-roasting-guide,92,100,100,100,
/blog/why-cook-chicken-wings-longer,92,100,100,100,
/guides,92,100,100,100,
/guides/best-knife-for-cutting-meat,92,100,100,100,
/guides/kitchen-appliances,92,100,100,100,
/newsletter,92,100,100,100,
/reviews/cuisinart-8-inch-nonstick-pan,92,100,100,100,
/reviews/victorinox-granton-edge-boning-knife,92,100,100,100,
/reviews/vitamix-5200-professional-blender,92,100,100,100,
/,93,100,100,100,
/reviews/ninja-bl660-professional-blender,93,100,100,100,
/reviews/norton-im200-tri-stone-sharpener,93,100,100,100,
/blog/nonstick-vs-stainless-steel-pans,94,100,100,100,
/reviews/epicurean-kitchen-cutting-board,94,100,100,100,
/blog/hand-washing-kitchen,95,100,100,100,
/blog/magic-of-freshly-ground-pepper,95,100,100,100,
/blog/why-children-hate-broccoli,95,100,100,100,
/disclosure,95,100,100,100,
/reviews/ninja-air-fryer-af101,95,100,100,100,
/reviews/small-plastic-hotel-pans,95,100,100,100,
/reviews/wusthof-classic-ikon-16-piece,95,100,100,100,
/blog/braising-101-tough-cuts-made-tender,96,100,100,100,
/blog/cast-iron-vs-carbon-steel-pan,96,100,100,100,
/blog/guide-cooking-oils-smoke-points,96,100,100,100,
/blog/hydration-health-water-intake,96,100,100,100,
/blog/why-resting-meat-key-cooking,96,100,100,100,
/blog/why-wash-eggs-and-produce,96,100,100,100,
/guides/best-budget-chef-knife,96,100,100,100,
/guides/best-chef-knives,96,100,100,100,
/guides/cookware-materials,96,100,100,100,
/reviews/cuisinart-dlc-10c-classic-food-processor,96,100,100,100,
/reviews/large-plastic-hotel-pans,96,100,100,100,
/reviews/robot-coupe-r2-dice,96,100,100,100,
/blog/caramelizing-onions-why-it-takes-45-minutes,97,100,100,100,
/blog/how-to-cook-perfect-pasta,97,100,100,100,
/blog/how-to-make-perfect-french-press-coffee,97,100,100,100,
/blog/meat-cooking-temperatures-thermometers,97,100,100,100,
/blog/stainless-steel-why-food-sticks,97,100,100,100,
/blog/understanding-cooking-fats,97,100,100,100,
/blog/what-is-velveting,97,100,100,100,
/blog/why-professional-chefs-use-kosher-salt,97,100,100,100,
/blog/wood-vs-composite-cutting-board,97,100,100,100,
/reviews/japanese-wooden-spoon-set,97,100,100,100,
/reviews/victorinox-fibrox-10-inch-chefs-knife,97,100,100,100,
/knives,98,100,100,100,
/reviews/nordic-ware-half-sheet-pan,86,100,100,100,